#{"t_start": 1675763379.8565452, "env_id": null}
r,l,t
-62.0,17,20.925047
-130.0,25,20.951974
-89.0,24,20.9789
14.0,11,20.989873
-9.0,14,21.00583
-21.0,16,21.021788
16.0,9,21.031729
-99.0,24,21.058689
28.0,7,21.064673
-93.0,18,21.08562
-19.0,14,21.098583
-120.0,25,21.124513
-109.0,24,21.151436
-55.0,20,21.172352
-87.0,22,21.197319
-9.0,14,21.210289
-97.0,22,21.235216
-7.0,12,21.251177
-54.0,19,21.276108
18.0,7,21.282092
-9.0,14,21.29805
-53.0,18,21.317998
-52.0,17,21.335948
-90.0,25,21.361845
-32.0,17,21.381827
5.0,10,21.392807
-56.0,21,21.413741
-32.0,17,21.431692
19.0,6,21.437643
-59.0,24,21.462577
-85.0,20,21.484518
-78.0,23,21.511446
-100.0,25,21.540369
-34.0,19,21.56231
-32.0,17,21.581259
-77.0,22,21.605195
-65.0,20,21.628134
-21.0,16,21.649078
-89.0,24,21.675009
-90.0,25,21.703932
-99.0,24,21.732854
16.0,9,21.743825
-51.0,16,21.762774
-42.0,17,21.783718
-78.0,23,21.808651
11.0,14,21.825606
-99.0,24,21.853531
-88.0,23,21.879462
-9.0,14,21.895419
-55.0,20,21.919355
-23.0,18,21.941297
-64.0,19,21.963238
4.0,11,21.976203
-33.0,18,21.995153
-44.0,19,22.018091
-53.0,18,22.039036
-65.0,20,22.062971
-31.0,16,22.081921
-19.0,14,22.100871
-97.0,22,22.126801
-67.0,22,22.155724
-98.0,23,22.182657
-90.0,25,22.214566
-99.0,24,22.25948
-1.0,16,22.276433
-67.0,22,22.30037
-26.0,21,22.322311
-100.0,25,22.348241
-8.0,13,22.36021
-44.0,19,22.38112
-24.0,19,22.402097
-9.0,14,22.418055
-88.0,23,22.442955
-56.0,21,22.470914
-28.0,13,22.48584
-130.0,25,22.513774
-11.0,16,22.532753
-55.0,20,22.556684
-52.0,17,22.577628
-57.0,22,22.600567
-100.0,25,22.627494
-76.0,21,22.650435
-85.0,20,22.671377
-78.0,23,22.697307
-77.0,22,22.720247
-88.0,23,22.747142
-66.0,21,22.772108
-22.0,17,22.794051
-17.0,12,22.808004
-130.0,25,22.837931
-10.0,15,22.856881
-18.0,13,22.872839
-29.0,14,22.886801
2.0,13,22.901736
